19.34,,,,,,20.13,,,,,,,,,,,,,,22.39,,,
19.39,,,,,,20.17,,,20.35,20.35,,,,,,21.34,,,,22.43,,,
,19.08,,,19.38,19.38,,20.08,20.08,,,,,20.38,21.08,,,21.38,,22.08,,,23.08,0.08
,19.16,,,19.46,19.46,,20.16,20.16,,,,,20.47,21.16,,,21.46,,22.16,,,23.16,0.16
,19.23,,,19.53,19.53,,20.23,20.23,,,,,20.56,21.24,,,21.53,,22.23,,,23.23,0.23
,19.26,,,19.56,19.56,,20.26,20.26,,,,,21.00,21.27,,,21.56,,22.26,,,23.26,0.26
,19.32,,,20.02,20.02,,20.32,20.32,,,,        ,21.06,21.32,,,22.02,,22.32,,,23.32,0.32
19.43,19.38,19.38,,20.08,20.08,20.21,20.38,20.38,20.38,20.38,21.10,,21.14,21.38,,21.39,22.08,,22.38,22.47,23.09,23.38,0.36
,19.43,19.43,,20.13,20.13,,20.43,20.43,20.43,20.43,,,21.19,21.43,,21.45,22.13,,22.43,,,23.43,
,19.47,19.47,,20.17,20.17,,20.47,20.47,20.47,20.47,,,21.23,21.47,,21.48,22.17,,22.47,,,23.47,
,19.51,19.50,,20.21,20.21,,20.51,20.51,20.51,20.51,21.20,,21.26,21.50,,21.52,22.21,,22.50,,23.19,23.50,
,19.54,19.53,,20.24,20.24,,20.54,20.54,20.54,20.54,,,21.29,21.54,,21.55,22.24,,22.53,,,23.53,
,19.57,19.56,,20.27,20.27,,20.57,20.57,20.57,20.57,,,21.32,21.56,,21.58,22.27,,22.56,,,23.56,
,20.01,20.00,,20.31,20.31,,21.01,21.01,21.01,21.01,,,21.36,22.01,,22.02,22.31,,23.00,,,0.00,
,20.04,20.03,,20.34,20.34,,21.03,21.03,21.03,21.03,,,21.38,22.03,,22.04,22.34,,23.03,,,0.03,
,20.07,20.06,,20.37,20.37,,21.07,21.07,21.07,21.07,,,21.42,22.07,,22.08,22.37,,23.06,,,0.06,
,20.11,20.10,,20.41,20.41,,21.11,21.11,21.11,21.11,21.32,,21.46,22.10,,22.11,22.41,,23.10,,23.30,0.10,
,20.17,20.17,,20.47,20.47,,21.17,21.17,21.17,21.17,21.38,,21.51,22.16,,22.17,22.47,,23.17,,23.36,0.17,
,20.20,20.20,,20.50,20.50,,21.31,21.31,21.31,21.31,,,21.54,22.19,,22.20,22.50,,,,,,
,20.24,20.24,,20.54,20.54,,21.35,21.35,21.35,21.35,,,21.58,22.23,,22.25,22.54,,,,,,
,20.28,20.28,,20.57,20.57,,21.38,21.38,21.38,21.38,,,22.02,22.27,,22.28,22.57,,,,,,
,20.31,20.31,,21.01,21.01,,21.42,21.42,21.42,21.42,,,22.05,22.30,,22.31,23.01,,,,,,
,20.34,20.34,,21.04,21.04,,21.45,21.45,21.45,21.45,,,22.08,22.33,,22.35,23.04,,,,,,
,20.38,20.38,,21.08,21.08,,21.49,21.49,21.49,21.49,,,22.12,22.37,,22.40,23.08,,,,,,
,20.44,20.44,21.00,21.14,21.14,,21.55,21.55,21.55,21.55,,22.00,22.18,22.43,22.45,22.46,23.14,23.15,,,,,
,20.49,20.49,,21.19,21.19,,21.59,21.59,21.59,21.59,,,22.23,22.48,23.00,22.51,23.19,23.30,,,,,
,20.52,20.52,,21.22,21.22,,22.03,22.03,22.03,22.03,,,22.27,22.52,23.08,22.54,23.22,23.37,,,,,
,20.56,20.56,,21.26,21.26,,22.05,22.06,22.06,22.06,,,22.30,22.56,23.17,22.57,23.25,23.45,,,,,
,,21.00,,,21.30,,,22.10,22.10,,,,,23.00,,,,,,,,,
,,21.11,21.50,,21.41,,,22.21,22.21,,,23.05,,23.11,,,,,,,,,
