,,,,,,,,,,,,,17.13,17.11,,,,,        ,,18.13,18.11,,,,,19.13
15.33,,,,,16.18,16.34,16.34,,16.47,,,,17.17,17.16,,17.34,,        ,,,18.17,18.16,,,,,19.17
,,,,15.38,,,,,,,16.38,16.38,        ,,,,,17.38,,17.38,,,,18.08,,18.38,
,,,,15.46,,,        ,        ,,,16.46,16.46,,,,,,17.46,,17.46,,,,18.16,,18.46,
,,,,15.53,,,,,        ,,16.53,16.53,,,        ,,,17.53,,17.53,,,,18.23,,18.53,
,,,,15.56,,,,,,,16.56,16.56,,,,,,17.56,,17.56,,,,18.26,,18.56,
,,,,16.02,,,,,,,17.02,17.02,,,,,        ,18.02,,18.02,,,,18.32,,19.02,
15.38,15.40,,,16.08,16.23,16.39,16.39,,16.53,17.00,17.08,17.08,17.23,17.19,17.38,17.40,17.53,18.08,,18.08,18.23,18.19,18.38,18.38,19.01,19.08,19.21
15.44,15.45,,,16.14,,16.44,16.45,,,,7.14,17.13,,,17.43,17.46,,18.14,,18.13,,,18.43,18.43,,19.13,
15.48,15.49,,,16.18,16.30,16.48,16.49,,17.00,,17.18,17.17,17.30,,17.47,17.50,18.00,22.18,,18.17,18.30,,18.47,18.47,,19.17,
15.51,15.52,,,16.22,16.33,16.51,16.52,,17.04,17.14,17.22,17.21,17.34,,17.51,17.53,18.04,18.22,,18.21,18.34,,18.51,18.51,19.14,19.21,
15.55,15.55,,,16.25,16.37,,16.56,,17.07,,,17.24,17.37,,17.54,,18.07,,,18.24,18.37,,18.54,18.54,,19.24,
15.58,15.58,,,16.28,,16.56,16.59,,        ,,17.27,17.27,,        ,17.57,17.58,,18.27,,18.27,,,18.57,18.57,,19.27,
16.02,16.02,,,16.32,16.42,17.01,17.04,,17.12,,17.32,17.31,17.42,,18.01,18.02,18.13,18.32,,18.31,18.42,,19.01,19.01,,19.31,
16.04,16.08,,,16.34,16.45,,17.07,,17.15,,,17.33,17.44,,18.04,,18.15,,,18.34,18.45,,19.04,19.04,,19.34,
16.08,16.08,,,16.38,16.49,17.06,17.10,,17.18,,17.37,17.37,17.48,,18.07,18.07,18.19,18.37,,18.37,18.48,,19.07,19.07,,19.37,
16.12,16.12,,        ,16.42,16.53,17.10,17.14,,17.22,17.28,17.41,17.41,17.52,        ,18.11,18.11,18.23,18.41,,18.41,18.52,,19.11,19.11,19.28,19.41,
16.17,16.17,,,16.47,16.59,17.16,17.19,,17.29,17.36,17.47,17.47,17.59,,18.17,18.17,18.29,18.47,,18.47,18.59,,19.17,19.17,19.36,19.47,
16.20,16.20,16.32,,16.50,17.02,17.19,17.22,,17.32,,17.50,17.50,18.02,,18.20,18.20,18.32,18.50,,18.50,,,19.20,19.20,,19.50,
16.24,16.24,16.37,,16.54,17.07,17.24,17.26,,17.37,,17.54,17.54,18.07,,18.28,18.24,18.37,18.54,,18.54,,,19.24,19.24,,19.54,
16.28,16.28,16.40,,16.58,17.11,17.27,17.29,,17.41,,17.58,17.58,18.11,,18.28,18.28,18.41,18.58,,18.58,,,19.28,19.28,,19.58,
16.31,16.31,16.44,,17.01,17.14,17.30,17.32,,17.44,        ,18.01,18.01,18.14,,18.31,18.31,18.44,19.01,,19.01,,,19.31,19.31,,20.01,
16.35,16.35,,,17.04,,17.34,17.37,,,,18.04,18.04,,,18.34,18.34,,19.04,,19.04,,,19.34,19.34,,20.04,
16.40,16.40,,,17.08,,17.38,17.42,,,,18.08,18.08,,,18.38,18.38,,19.08,,18.08,,,19.38,19.38,,20.08,
16.46,16.46,16.57,,17.14,17.27,17.44,17.48,,17.57,,18.14,18.14,18.27,,18.44,18.44,18.57,19.14,,19.14,,,19.44,19.44,,20.14,
16.51,16.51,,,17.19,,17.49,17.52,,,,18.19,18.19,,,19.49,18.49,,19.19,,19.19,,,19.49,19.49,,20.19,
16.54,16.54,17.05,,17.22,17.35,17.52,17.56,,18.05,,18.22,18.22,18.35,,18.52,18.52,19.05,19.22,,19.22,,,19.52,19.52,,20.22,
16.56,16.56,17.09,,17.26,17.38,17.55,17.59,,18.09,,18.26,18.26,18.38,,18.56,18.56,19.08,19.26,,19.26,,,19.56,19.56,,20.26,
,17.01,17.13,,17.30,,,18.02,,18.13,,18.30,18.30,,,19.00,19.00,,19.30,,19.30,,,20.00,20.00,,20.30,
,17.12,17.24,,17.41,,,18.13,,18.24,,18.41,18.41,,,19.11,19.11,,19.41,,19.41,,,20.11,20.11,,20.41,
